Année,Code INSEE région,Filière,Région,Part de la consommation nationale couverte (%),part_peryear_normalized,year_prodGWh,filiere_prodGWh
2021,32,Nuclear,Hauts-de-France,6.3,0.056807935,512429,29110.03336
2021,32,Non-renewablee,Hauts-de-France,2,0.018034265,512429,9241.280433
2021,32,Solar,Hauts-de-France,0.1,0.000901713,512429,462.0640216
2021,11,Wind,Île-de-France,0.1,0.000901713,512429,462.0640216
2021,11,Bioenergy,Île-de-France,0.3,0.00270514,512429,1386.192065
2021,11,Hydro,Île-de-France,0,0,512429,0
2021,11,Nuclear,Île-de-France,0,0,512429,0
2021,11,Solar,Île-de-France,0,0,512429,0
2021,11,Non-renewablee,Île-de-France,0.4,0.003606853,512429,1848.256087
2021,28,Hydro,Normandie,0,0,512429,0
2021,28,Solar,Normandie,0,0,512429,0
2021,28,Bioenergy,Normandie,0.2,0.001803427,512429,924.1280433
2021,28,Wind,Normandie,0.4,0.003606853,512429,1848.256087
2021,28,Nuclear,Normandie,13.8,0.124436429,512429,63764.83499
2021,28,Non-renewablee,Normandie,0.6,0.00541028,512429,2772.38413
2021,75,Wind,Nouvelle-Aquitaine,0.6,0.00541028,512429,2772.38413
2021,75,Nuclear,Nouvelle-Aquitaine,7.8,0.070333634,512429,36040.99369
2021,75,Bioenergy,Nouvelle-Aquitaine,0.3,0.00270514,512429,1386.192065
2021,75,Hydro,Nouvelle-Aquitaine,1,0.009017133,512429,4620.640216
2021,75,Non-renewablee,Nouvelle-Aquitaine,0.2,0.001803427,512429,924.1280433
2021,75,Solar,Nouvelle-Aquitaine,0.8,0.007213706,512429,3696.512173
2021,76,Wind,Occitanie,0.7,0.006311993,512429,3234.448151
2021,76,Solar,Occitanie,0.6,0.00541028,512429,2772.38413
2021,76,Nuclear,Occitanie,3.1,0.027953111,512429,14323.98467
2021,76,Bioenergy,Occitanie,0.1,0.000901713,512429,462.0640216
2021,76,Hydro,Occitanie,2.2,0.019837692,512429,10165.40848
2021,76,Non-renewablee,Occitanie,0.1,0.000901713,512429,462.0640216
2021,52,Wind,Pays de la Loire,0.5,0.004508566,512429,2310.320108
2021,52,Solar,Pays de la Loire,0.2,0.001803427,512429,924.1280433
2021,52,Bioenergy,Pays de la Loire,0.1,0.000901713,512429,462.0640216
2021,52,Nuclear,Pays de la Loire,0,0,512429,0
2021,52,Hydro,Pays de la Loire,0,0,512429,0
2021,52,Non-renewablee,Pays de la Loire,1,0.009017133,512429,4620.640216
2021,93,Wind,Provence-Alpes-Côte d'Azur,0,0,512429,0
2021,93,Nuclear,Provence-Alpes-Côte d'Azur,0,0,512429,0
2021,93,Bioenergy,Provence-Alpes-Côte d'Azur,0.2,0.001803427,512429,924.1280433
2021,93,Hydro,Provence-Alpes-Côte d'Azur,1.8,0.016230839,512429,8317.15239
2021,93,Solar,Provence-Alpes-Côte d'Azur,0.5,0.004508566,512429,2310.320108
2021,93,Non-renewablee,Provence-Alpes-Côte d'Azur,1.2,0.010820559,512429,5544.76826
2022,84,Bioenergy,Auvergne-Rhône-Alpes,0.2,0.00204499,435146,889.8691207
2022,84,Solar,Auvergne-Rhône-Alpes,0.5,0.005112474,435146,2224.672802
2022,84,Non-renewablee,Auvergne-Rhône-Alpes,0.6,0.006134969,435146,2669.607362
2022,84,Hydro,Auvergne-Rhône-Alpes,5,0.051124744,435146,22246.72802
2022,84,Wind,Auvergne-Rhône-Alpes,0.3,0.003067485,435146,1334.803681
2022,84,Nuclear,Auvergne-Rhône-Alpes,16.1,0.164621677,435146,71634.46421
2022,27,Hydro,Bourgogne-Franche-Comté,0.2,0.00204499,435146,889.8691207
2022,27,Solar,Bourgogne-Franche-Comté,0.1,0.001022495,435146,444.9345603
2022,27,Wind,Bourgogne-Franche-Comté,0.4,0.00408998,435146,1779.738241
2022,27,Non-renewablee,Bourgogne-Franche-Comté,0.1,0.001022495,435146,444.9345603
2022,27,Bioenergy,Bourgogne-Franche-Comté,0.1,0.001022495,435146,444.9345603
2022,27,Nuclear,Bourgogne-Franche-Comté,0,0,435146,0
2022,53,Non-renewablee,Bretagne,0.8,0.008179959,435146,3559.476483
2022,53,Bioenergy,Bretagne,0.1,0.001022495,435146,444.9345603
2022,53,Wind,Bretagne,0.4,0.00408998,435146,1779.738241
2022,53,Hydro,Bretagne,0.1,0.001022495,435146,444.9345603
2022,53,Nuclear,Bretagne,0,0,435146,0
2022,53,Solar,Bretagne,0.1,0.001022495,435146,444.9345603
2022,24,Bioenergy,Centre-Val de Loire,0.1,0.001022495,435146,444.9345603
2022,24,Wind,Centre-Val de Loire,0.6,0.006134969,435146,2669.607362
2022,24,Hydro,Centre-Val de Loire,0,0,435146,0
2022,24,Nuclear,Centre-Val de Loire,13.9,0.142126789,435146,61845.90389
2022,24,Solar,Centre-Val de Loire,0.2,0.00204499,435146,889.8691207
2022,24,Non-renewablee,Centre-Val de Loire,0.1,0.001022495,435146,444.9345603
2022,94,Wind,Corse,0,0,435146,0
2022,94,Nuclear,Corse,0,0,435146,0
2022,94,Bioenergy,Corse,0,0,435146,0
2022,94,Solar,Corse,0.1,0.001022495,435146,444.9345603
2022,94,Non-renewablee,Corse,0.2,0.00204499,435146,889.8691207
2022,94,Hydro,Corse,0.1,0.001022495,435146,444.9345603
2022,44,Wind,Grand Est,1.8,0.018404908,435146,8008.822086
2022,44,Nuclear,Grand Est,8.2,0.083844581,435146,36484.63395
2022,44,Non-renewablee,Grand Est,2.5,0.025562372,435146,11123.36401
2022,44,Bioenergy,Grand Est,0.3,0.003067485,435146,1334.803681
2022,44,Hydro,Grand Est,1.6,0.016359918,435146,7118.952965
2022,44,Solar,Grand Est,0.3,0.003067485,435146,1334.803681
2022,32,Bioenergy,Hauts-de-France,0.2,0.00204499,435146,889.8691207
2022,32,Nuclear,Hauts-de-France,6.2,0.063394683,435146,27585.94274
2022,32,Solar,Hauts-de-France,0.1,0.001022495,435146,444.9345603
2022,32,Non-renewablee,Hauts-de-France,2.4,0.024539877,435146,10678.42945
2022,32,Wind,Hauts-de-France,2.4,0.024539877,435146,10678.42945
2022,32,Hydro,Hauts-de-France,0,0,435146,0
2022,11,Bioenergy,Île-de-France,0.3,0.003067485,435146,1334.803681
2022,11,Hydro,Île-de-France,0,0,435146,0
2022,11,Solar,Île-de-France,0,0,435146,0
2022,11,Non-renewablee,Île-de-France,0.5,0.005112474,435146,2224.672802
2022,11,Nuclear,Île-de-France,0,0,435146,0
2022,11,Wind,Île-de-France,0.1,0.001022495,435146,444.9345603
2022,28,Bioenergy,Normandie,0.2,0.00204499,435146,889.8691207
2022,28,Solar,Normandie,0.1,0.001022495,435146,444.9345603
2022,28,Hydro,Normandie,0,0,435146,0
2022,28,Nuclear,Normandie,9.6,0.098159509,435146,42713.71779
2022,28,Non-renewablee,Normandie,0.5,0.005112474,435146,2224.672802
2022,28,Wind,Normandie,0.4,0.00408998,435146,1779.738241
2022,75,Solar,Nouvelle-Aquitaine,1,0.010224949,435146,4449.345603
